id;event_id;titulo;resumen;fecha;descripcion;fila_asientos;columna_asientos;tipo_evento;direccion;imagen;precio_entrada;tipo_nombre;tipo_descripcion;integrantes
1;28873;nor consequently;ack likewise frankly;2025-11-20T11:14:10;blah wonderfully instructor;24070;9934;among aw interchange;psst quarterly digit;um slow times;18956.04;er ectoderm cellar;certainly;aw likely
2;22787;midst;mobilise unwilling however;2025-11-19T23:04:50;or;31368;8256;apud;seldom ah;junior dally meanwhile;7734.32;huzzah fooey sophisticated;rotating hmph defiantly;who
3;4228;charlatan;utterly alarmed;2025-11-19T15:33:33;um;5663;14001;or;moment;obnoxiously worth gee;26647.32;unsung per;deliberately bleakly;pleased
4;1338;inasmuch tough although;lieu;2025-11-20T07:08:19;glaring woot;11384;22982;easy yeast axe;beautifully ligate;if entwine generally;31942.55;bus;wide;accomplished
5;2793;agreement but;nicely the woot;2025-11-20T10:22:22;why reference;31688;14539;gadzooks mostly;phew excepting;alienated despite;12115.77;near;mature thorough;after
6;18076;terrorise up unibody;ragged yuck bliss;2025-11-20T03:10:09;probable;25538;14094;live;grandpa;although;19854.93;eventually under whoa;since pfft;blah patiently quixotic
7;20383;oddly enthusiastically;woot inexperienced;2025-11-19T17:31:12;outsource educated;15214;26695;habit if happily;incidentally hopelessly;fervently;714.18;than athwart;ragged common polished;atomize down indeed
8;3605;expensive;down now because;2025-11-19T17:03:56;longingly submissive for;30179;11784;concerned expert;westernise;gosh majority whoa;16727.43;bus that ack;thoroughly aw;morning
9;4264;hmph goose bludgeon;keenly tentacle;2025-11-20T00:31:22;reproachfully unnecessarily;18631;28200;briskly;collectivization weatherize;reflecting unbearably;136.51;however;quietly shakily manage;vastly hygienic
10;15166;ugh extroverted;section;2025-11-19T22:16:23;but now begonia;13543;13961;fast hm executor;during fairly;ugh glittering outside;3718.11;above axe;as provided;distorted easily
