id;venta_id;event_id;fecha_venta;asientos;nombres;precio_venta;estado;resultado;descripcion;cantidad_asientos
1;27851;15677;2025-11-20T05:20:47;athwart educated repeatedly;that exotic netsuke;27062.4;geez yippee;true;mozzarella what;5370
2;27820;7854;2025-11-20T08:02:36;ew;shirk row among;19798.45;wholly underachieve;false;immediately annual yippee;25851
3;23785;176;2025-11-20T11:34:29;since ew;duh since and;1816.01;yum pro;true;stay giant detain;1132
4;20395;28825;2025-11-19T16:12:39;papa extremely however;although knottily;10787.57;gloom wise average;false;broadly;30194
5;8364;30121;2025-11-20T02:27:46;mysteriously because;even down;19709.23;that;true;afore potentially;9349
6;16663;24679;2025-11-20T11:50:14;graffiti fisherman;ultimately satisfy yippee;2761.59;jovially polarisation phooey;false;lest psst;8085
7;13168;28703;2025-11-20T10:22:22;whoever notwithstanding;ugh;16359.8;so;false;ha;29904
8;30179;1434;2025-11-20T02:02:22;consequently concrete searchingly;near stall;2464.54;oh despite;false;boohoo rightfully;32590
9;26673;14846;2025-11-19T21:47:54;cripple sanity buttery;admired;10609.52;ultimately mundane prioritize;false;pull;27103
10;17384;5884;2025-11-19T21:27:43;fooey;atop;6088.59;coliseum;false;youthfully;17001
