id;event_id;user_login;asientos;fecha_seleccion;expiracion
1;22422;shipper chops alongside;hairy aha;2025-11-20T03:26:11;2025-11-20T03:45:13
2;30734;likewise notwithstanding far-flung;than gestate duh;2025-11-19T20:43:35;2025-11-19T19:13:09
3;20895;faint;because deliberately glossy;2025-11-19T16:26:45;2025-11-20T00:09:39
4;17997;as;so;2025-11-20T09:07:14;2025-11-20T04:32:35
5;19942;including despite gee;whoever;2025-11-20T13:24:45;2025-11-19T22:39:56
6;25513;quizzically because bidet;remorseful but ack;2025-11-20T03:02:55;2025-11-19T19:00:40
7;21963;amid;absolve tabletop jazz;2025-11-20T02:42:13;2025-11-19T20:12:24
8;12498;yuck which amid;vibration;2025-11-20T11:55:24;2025-11-20T03:21:41
9;4030;boring clearly;amongst obediently;2025-11-19T22:56:26;2025-11-20T12:34:39
10;17942;unlike;meanwhile supplier;2025-11-19T16:25:42;2025-11-20T11:40:17
